0,1,2,3,4
Time Slot,Berth 1,Berth 2,Berth 3,Berth 4
1,8 (314 meters),3 (129 meters),5 (98 meters),9 (230 meters)
2,8 (314 meters),3 (129 meters),5 (98 meters),9 (230 meters)
3,8 (314 meters),3 (129 meters),5 (98 meters),9 (230 meters)
4,8 (314 meters),3 (129 meters),5 (98 meters),9 (230 meters)
5,8 (314 meters),3 (129 meters),5 (98 meters),9 (230 meters)
6,8 (314 meters),3 (129 meters),5 (98 meters),9 (230 meters)
7,8 (314 meters),3 (129 meters),5 (98 meters),9 (230 meters)
8,8 (314 meters),3 (129 meters),5 (98 meters),9 (230 meters)
9,8 (314 meters),3 (129 meters),5 (98 meters),9 (230 meters)
10,8 (314 meters),3 (129 meters),5 (98 meters),9 (230 meters)
11,8 (314 meters),3 (129 meters),5 (98 meters),9 (230 meters)
12,8 (314 meters),3 (129 meters),5 (98 meters),9 (230 meters)
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
